Organization_WT,project_full_nm_WT,WT_project_id,organization_db,project_name_db
BAM,AREVA Shea Creek Bird Surveys 2008,1005,BAM,AREVA Shea Creek Bird Surveys 2008
BAM,AXYS Kantah Bird Surveys 1995,989,BAM,AXYS Kantah Bird Surveys 1995
BAM,Clean Air Force Station Reconnaissance Surveys 2007,984,BAM,Clean Air Force Station Reconnaissance Surveys 2007
BAM,Coal Valley Mine Expansion Bird Surveys 1998,986,BAM,Coal Valley Mine Expansion Bird Surveys 1998
BAM,Cogema Cluff Lake Project Bird Survey Data 2005,985,BAM,Cogema Cluff Lake Project Bird Survey Data 2005
BAM,COGEMA Midwestern Project Bird Surveys 2003,994,BAM,COGEMA Midwestern Project Bird Surveys 2003
BAM,Del Rio and Tate Creek Study NE British Columbia 1993 to 2002,987,BAM,Del Rio and Tate Creek Study NE British Columbia 1993 to 2002
BAM,Diversity of birds and small mammals along successional gradients 2007,1006,BAM,Diversity of birds and small mammals along successional gradients 2007
BAM,Eastern Boreal Quebec Bird Surveys 2006 to 2007,995,BAM,Eastern Boreal Quebec Bird Surveys 2006 to 2007
BAM,Fort Nelson Forest District Bird Surveys 2006,988,BAM,Fort Nelson Forest District Bird Surveys 2006
BAM,KOMEX Deer Creek Bird Surveys 2003,991,BAM,KOMEX Deer Creek Bird Surveys 2003
BAM,Main River Bird Study 2003,919,BAM,Main River Bird Study 2003
BAM,Mercoal East EIA Bird Surveys 2001 to 2003,992,BAM,Mercoal East EIA Bird Surveys 2001 to 2003
BAM,Minnesota Forest Breeding Bird Monitoring Project 1991-2014,1016,BAM,Minnesota Forest Breeding Bird Monitoring Project 1991-2014
BAM,Project 1.2.2 of the Industrial research chair in sylviculture and wildlife 2004,993,BAM,Project 1.2.2 of the Industrial research chair in sylviculture and wildlife 2004
BAM,Prophet River Songbird Inventory 1998,920,BAM,Prophet River Songbird Inventory 1998
BAM,Yukon-Charley Rivers National Preserve Point Counts 1999,1009,BAM,Yukon-Charley Rivers National Preserve Point Counts 1999
BFLEL,Fundy Forest Bird Research 2001,771,BFLEL,Fundy Forest Bird Research 2001
BU,Alberta CAWA Project 2012 West,804,BU,Alberta CAWA Project 2012 West
BU,Aspen Seismic Lines 2002,517,BU,Aspen Seismic Lines 2002
BU,Black Spruce Seismic Lines 2004,516,BU,Black Spruce Seismic Lines 2004
BU,Calling Lake Fragmentation Experiment Private,1409,BU,Calling Lake Fragmentation Experiment 1993 to 2014
BU,Compressor Noise Impacts on Boreal Birds 2003,518,BU,Compressor Noise Impacts on Boreal Birds 2003
BU,Fort Liard Linear Feature Surveys 2008,887,BU,Fort Liard Linear Feature Surveys 2008
BU,Fort Simpson Linear Effects 2005-2006,719,BU,Fort Simpson Linear Effects 2005-2006
BU,Landscape Biodiversity Project Point Counts 1997,888,BU,Landscape Biodiversity Project Point Counts 1997
BU,Manning Linear Effects 2006-2007,718,BU,Manning Linear Effects 2006-2007
BU,NWT Seismic Line Recovery Project 2010,519,BU,NWT Seismic Line Recovery Project 2010
BU,Wellpad Regeneration Study 2008,715,BU,Wellpad Regeneration Study 2008
CANFOR,CANFOR-Inventory Assessment of Birds 2002,901,CANFOR,CANFOR-Inventory Assessment of Birds 2002
CANFOR,Northern Goshawk Inventory Chetwynd 2000,902,CANFOR,Northern Goshawk Inventory Chetwynd 2000
CWS-NOR,Alaska Gas Pipeline Bird Surveys 2011 YT,955,CWS-NOR,Alaska Gas Pipeline Bird Surveys 2011 YT
CWS-NOR,Breeding Bird Communities Liard Valley 1994 YT,948,CWS-NOR,Breeding Bird Communities Liard Valley 1994 YT
CWS-NOR,Canopy Gaps Bird Communities La Biche River Valley 1997 YT,950,CWS-NOR,Canopy Gaps Bird Communities La Biche River Valley 1997 YT
CWS-NOR,Checkpoint Songbird Study 2004,1025,CWS-NOR,Checkpoint Songbird Study 2004
CWS-NOR,Colville Lake Songbird Surveys 2006,1026,CWS-NOR,Colville Lake Songbird Surveys 2006
CWS-NOR,Edehzie-Horn Plateau Point Counts 2002-2003,943,CWS-NOR,Edehzie-Horn Plateau Point Counts 2002-2003
CWS-NOR,Forest Bird Surveys Dawson Land Use Planning Region 2012 YT,956,CWS-NOR,Forest Bird Surveys Dawson Land Use Planning Region 2012 YT
CWS-NOR,Forest Bird Surveys Fox Lake Burn 2010-2011 YT,954,CWS-NOR,Forest Bird Surveys Fox Lake Burn 2010-2011 YT
CWS-NOR,High Elevation Targeted Bird Surveys 2014 YT,997,CWS-NOR,High Elevation Targeted Bird Surveys 2014 YT
CWS-NOR,Inventory Assessment Black Terns Blind Lake 2003 YT,952,CWS-NOR,Inventory Assessment Black Terns Blind Lake 2003 YT
CWS-NOR,Ka'a'gee Tu - Kakisa Point Counts 2009-2010,944,CWS-NOR,Ka'a'gee Tu - Kakisa Point Counts 2009-2010
CWS-NOR,KEMP Point Count Surveys 2001 to 2004 YT,951,CWS-NOR,KEMP Point Count Surveys 2001 to 2004 YT
CWS-NOR,Norman Wells Songbird Surveys 2004,1027,CWS-NOR,Norman Wells Songbird Surveys 2004
CWS-NOR,Rusty Blackbird Surveys Mackenzie Valley 2006,1028,CWS-NOR,Rusty Blackbird Surveys 2006
CWS-NOR,Sambaa K'e - Trout Lake Point Counts 2007 to 2008,945,CWS-NOR,Sambaa K'e - Trout Lake Point Counts 2007 to 2008
CWS-NOR,Shutagotine Nene Environmemtal Assessment 2009,1029,CWS-NOR,Shutagotine Nene Environmemtal Assessment 2009
CWS-NOR,Southern Yukon Riparian Bird Communities 1996 YT,949,CWS-NOR,Southern Yukon Riparian Bird Communities 1996 YT
CWS-NOR,Teslin Forest Birds Project 2000-2003 YT,957,CWS-NOR,"Teslin Forest Birds Project 2000-2003 YT, Teslin Forest Bird Surveys 2009 to 2010 YT"
CWS-NOR,Ts'ude Nil?né Tuyeta - Ramparts Point Counts 2005 to 2006,946,CWS-NOR,Ts'ude niline Tu'eyeta - Ramparts Point Counts 2005 to 2006
CWS-NOR,Western Boreal Helicopter Surveys 2005,1030,CWS-NOR,Western Boreal Helicopter Surveys 2005
CWS-NOR,Woodpeckers Beetle-affected Forest Southwest Yukon 2007 to 2008 YT,953,CWS-NOR,Woodpeckers Beetle-affected Forest Southwest Yukon 2007 to 2008 YT
CWS-PRA,"Agricultural Conversion Data 1999, 2000",889,CWS-PRA,"Agricultural Conversion Data 1999, 2000"
CWS-PRA,Big River Spruce Budworm Study 1993,870,CWS-PRA,Big River Spruce Budworm Study 1993
CWS-PRA,Boreal Shield Bird Surveys Saskatchewan 2007,879,CWS-PRA,Boreal Shield Bird Surveys Saskatchewan 2007
CWS-PRA,Fragmentation Related Bird Surveys 1993,890,CWS-PRA,Fragmentation Related Bird Surveys 1993
CWS-PRA,Grande Prairie Manning Bird Surveys 2001,881,CWS-PRA,Grande Prairie Manning Bird Surveys 2001
CWS-PRA,House River Bird Surveys 2003,882,CWS-PRA,House River Bird Surveys 2003
CWS-PRA,JOSM Resampling ECCC Cause and Effect Monitoring for Landbirds 2014,996,CWS-PRA,JOSM Resampling ECCC Cause and Effect Monitoring for Landbirds 2014
CWS-PRA,La Ronge Point Counts 1995,871,CWS-PRA,La Ronge Point Counts 1995
CWS-PRA,Manitoba Model Forest Bird Monitoring Program 94 1994,873,CWS-PRA,Manitoba Model Forest Bird Monitoring Program 94 1994
CWS-PRA,Manitoba Model Forest Bird Monitoring Program 95 1995,874,CWS-PRA,Manitoba Model Forest Bird Monitoring Program 95 1995
CWS-PRA,Manitoba Shield Bird Data 2006,883,CWS-PRA,Manitoba Shield Bird Data 2006
CWS-PRA,Meadow Lake Bird Count Data 1993,872,CWS-PRA,Meadow Lake Bird Count Data 1993
CWS-PRA,Oilsands Bird Survey Data 1999,878,CWS-PRA,Oilsands Bird Survey Data 1999
CWS-PRA,"Prince Albert Model Forest Gradient Data 1993, 1994",875,CWS-PRA,"Prince Albert Model Forest Gradient Data 1993, 1994"
CWS-PRA,Prince Albert National Park Bird Surveys 2001,876,CWS-PRA,Prince Albert National Park Bird Surveys 2001
DL-ULAVAL,Foret Montmorency long-term bird survey 2000,761,DL-ULAVAL,Foret Montmorency long-term bird survey 2000
DL-ULAVAL,Link Gap crossings with species occurrence in landscapes 2000,769,DL-ULAVAL,Link Gap crossings with species occurrence in landscapes 2000
DL-ULAVAL,"Old-growth fir forests , Lac des Neiges 1996",770,DL-ULAVAL,"Old-growth fir forests , Lac des Neiges 1996"
DL-UQAM,Eastern Boreal Mixedwood Forest Bird Communities 1995,897,DL-UQAM,Eastern Boreal Mixedwood Forest Bird Communities 1995
DUC,EMEND Avian Component 1998 to 2000,899,DUC,EMEND Avian Component 1998 to 2000
DUC,Silviculture Scenarios Mixedwood Forests Quebec 1999,900,DUC,Silviculture Scenarios Mixedwood Forests Quebec 1999
GOLDER,"CNRL Point Count Surveys 2000, 2001, 2004, 2005",843,GOLDER,"CNRL Point Count Surveys 2000, 2001, 2004, 2005"
GOLDER,MEG Energy Oilsands Bird Data 2004,863,GOLDER,MEG Energy Oilsands Bird Data 2004
GOLDER,OPTI Point Count Data 2000,866,GOLDER,OPTI Point Count Data 2000
GOLDER,PAN CANADA Christina Lake Bird Surveys 2001,916,GOLDER,"PAN CANADA Christina Lake Bird Survey2001, PAN CANADA Christina Lake Bird Surveys 2003"
GOLDER,"PETRO CANADA Point Count Data 2001, 2004",868,GOLDER,"PETRO CANADA Point Count Data 2001, 2004"
GOLDER,RIOALTO KERBY LAKE Point Count Data 2001,867,GOLDER,RIOALTO KERBY LAKE Point Count Data 2001
GOLDER,"SHELL Point Count Data 1997, 2001",865,GOLDER,"SHELL Point Count Data 1997, 2001"
GOLDER,"SUNCOR Point Count Data 2002, 2004",864,GOLDER,"SUNCOR Point Count Data 2002, 2004"
GOV-NL,Labrador Highlands Research Group Point Counts 2007,840,GOV-NL,Labrador Highlands Research Group Point Counts 2007
GOV-NL,Main River Avifauna Surveys 2003,839,GOV-NL,Main River Avifauna Surveys 2003
Gov-NL,Songbird Inventory - Central Labrador Data 2003,838,Gov-NL,Songbird Inventory - Central Labrador Data 2003
Gov-ON,Wildlife Assessment Program Forest Bird Pilot Study Data: 2002- 2004,809,Gov-ON,Wildlife Assessment Program Forest Bird Pilot Study Data: 2002- 2004
Gov-SK,Saskatchewan Environment Data SKAMP 2004,808,GOV-SK,Saskatchewan Environment Data SKAMP 2004
HQC-BAM,Eastmain 1A Powerhouse and Rupert Diversion Project EIA 2002,837,HQC-BAM,Eastmain 1-A Powerhouse and Rupert Diversion Project EIA 2002
HQC-BAM,Peribonka River Hydroelectric Project EIA 2002,835,HQC-BAM,Peribonka River Hydroelectric Project EIA 2002
HQC-BAM,Regularisation du Lac Kenogami EIA 2001,834,HQC-BAM,Regularisation du Lac Kenogami EIA 2001
HQC-BAM,Romaine River Hydroelectric Project EIA 2001,836,HQC-BAM,Romaine River Hydroelectric Project EIA 2001
IL-UQAT,Comparing bird assemblages in successional black spruce stands 1993,772,IL-UQAT,Comparing bird assemblages in successional black spruce stands 1993
LP,LP Forest Bird Monitoring project 1997,896,LP,LP Forest Bird Monitoring project 1997
MAR-ATLAS (BAM),Maritime Atlas BAM Version 2006,905,BAM,Maritime Atlas BAM Version 2006
MB-ATLAS (BAM),Manitoba Atlas BAM Version 2010,802,BAM,Manitoba Atlas BAM Version 2010
MILL-WEST,Whitecourt Thinning Point Counts 2001,891,MILL-WEST,Whitecourt Thinning Point Counts 2001
NCC,Baseline Inventory Report - Lloyds River Escarpment 2004,1010,NCC,Baseline Inventory Report - Lloyds River Escarpment 2004
NL-UofG,Red Lake Marten and Biodiversity Project 2001,898,NL-UofG,Red Lake Marten and Biodiversity Project 2001
NRCAN,White River Bird Surveys 2003,908,NRCAN,White River Bird Surveys 2003
ON-ATLAS (BAM),Ontario Atlas BAM Version 2001,801,BAM,Ontario Breeding Bird Atlas
QC-ATLAS (BAM),Quebec Atlas BAM Version 2010,803,BAM,Quebec Altas BAM Version 2010
STEC-BAM,Inuvik-Tuktoyaktuk Highway Point Count Surveys 2012,833,STEC-BAM,Inuvik-Tuktoyaktuk Highway Point Count Surveys 2012
VLAB,Indicator Species Response to Forest Management Project 2007,918,VLAB,Indicator Species Response to Forest Management Project 2007
WEST FRASER,Hinton FMA Bird Surveys 1995,909,WEST FRASER,Hinton FMA Bird Surveys 1995
WEYER,Drayton Valley Bird Surveys 1997,1024,WEYER,Drayton Valley Bird Surveys 1997
USGS Alaska,Alaska Landbird Monitoring Distance and Off Road 1,1432,USGS Alaska,Alaska Landbird Monitoring Distance and Off Road
USGS Alaska,Alaska Landbird Monitoring Survey - Denali,1429,USGS Alaska,Alaska Landbird Monitoring Survey Denali
USGS Alaska,Alaska Landbird Monitoring Distance and Off Road 2,1431,USGS Alaska,Alaska Landbird Monitoring Distance and Off Road 2
USGS Alaska,Alaska Landbird Monitoring Distance and Off Road Count Methodology,1430,USGS Alaska,Alaska Landbird Monitoring Distance and Off Road Count Methodology
USGS Alaska,Alaska Landbird Monitoring Survey,1428,USGS Alaska,Alaska Landbird Monitoring
CWS-NOR,Fort Liard Road Surveys for BAM 2011,1418,CWS-NOR,Ft Liard Road survey's for BAM
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
