"","species_id","sci_name","common_name","species_code"
"1",12140,"Empidonax virescens","Acadian Flycatcher","ACFL"
"2",42264,"Acanthis/Spinus sp.","Acanthis/Spinus sp.",NA
"3",3150,"Accipiter sp.","Accipiter sp.","UNAC"
"4",10070,"Melanerpes formicivorus","Acorn Woodpecker","ACWO"
"5",42885,"Diomedeidae sp.","albatross sp.",NA
"6",5950,"Alcidae sp.","alcid sp.",NA
"7",12160,"Empidonax alnorum","Alder Flycatcher","ALFL"
"8",12150,"Empidonax alnorum/traillii","Alder/Willow Flycatcher (Traill's Flycatcher)",NA
"9",5430,"Onychoprion aleuticus","Aleutian Tern","ALTE"
"10",4300,"Recurvirostra americana","American Avocet","AMAV"
"11",2490,"Botaurus lentiginosus","American Bittern","AMBI"
"12",440,"Anas rubripes","American Black Duck","ABDU"
"13",45419,"Fulica americana","American Coot","AMCO"
"14",13900,"Corvus brachyrhynchos","American Crow","AMCR"
"15",38407,"Corvus brachyrhynchos [brachyrhynchos Group]","American Crow (American)",NA
"16",13910,"Corvus brachyrhynchos caurinus","American Crow (Northwestern)",NA
"17",14930,"Cinclus mexicanus","American Dipper","AMDI"
"18",2891,"Phoenicopterus ruber","American Flamingo","AMFL"
"19",4100,"Pluvialis dominica","American Golden-Plover","AMGP"
"20",20500,"Spinus tristis","American Goldfinch","AMGO"
"21",3570,"Falco sparverius","American Kestrel","AMKE"
"22",40315,"Falco sparverius [sparverius Group]","American Kestrel (Northern)",NA
"23",4260,"Haematopus palliatus","American Oystercatcher","AMOY"
"24",16290,"Anthus rubescens","American Pipit","AMPI"
"25",16890,"Setophaga ruticilla","American Redstart","AMRE"
"26",15770,"Turdus migratorius","American Robin","AMRO"
"27",10360,"Picoides dorsalis","American Three-toed Woodpecker","ATTW"
"28",40555,"Picoides dorsalis bacatus","American Three-toed Woodpecker (Eastern)",NA
"29",41773,"Picoides dorsalis/arcticus","American Three-toed/Black-backed Woodpecker",NA
"30",18760,"Spizelloides arborea","American Tree Sparrow","ATSP"
"31",2350,"Pelecanus erythrorhynchos","American White Pelican","AWPE"
"32",420,"Mareca americana","American Wigeon","AMWI"
"33",4980,"Scolopax minor","American Woodcock","AMWO"
"34",9070,"Lampornis amethystinus","Amethyst-throated Mountain-gem",NA
"35",47118,"Ammospiza sp.","Ammospiza sp.",NA
"36",620,"Anas sp.","Anas sp.",NA
"37",5850,"Synthliboramphus antiquus","Ancient Murrelet","ANMU"
"38",2440,"Anhinga anhinga","Anhinga","ANHI"
"39",9310,"Calypte anna","Anna's Hummingbird","ANHU"
"40",42744,"Anser sp.","Anser sp.",NA
"41",41583,"Aquila sp.","Aquila sp.",NA
"42",1540,"Gavia arctica","Arctic Loon","ARLO"
"43",5580,"Sterna paradisaea","Arctic Tern","ARTE"
"44",42698,"Phylloscopus borealis","Arctic Warbler","ARWA"
"45",41539,"Ardea sp.","Ardea sp.",NA
"46",12430,"Myiarchus cinerascens","Ash-throated Flycatcher","ATFL"
"47",2170,"Hydrobates homochroa","Ashy Storm-Petrel","ASSP"
"48",43370,"Asio sp.","Asio sp.",NA
"49",5920,"Fratercula arctica","Atlantic Puffin","ATPU"
"50",41515,"Puffinus lherminieri","Audubon's Shearwater","AUSH"
"51",5952,"Ptychoramphus/Aethia sp.","Auklet sp.",NA
"52",700,"Aythya sp.","Aythya sp.",NA
"53",18680,"Peucaea aestivalis","Bachman's Sparrow","BACS"
"54",580,"Sibirionetta formosa","Baikal Teal","BATE"
"55",4770,"Calidris bairdii","Baird's Sandpiper","BASA"
"56",18910,"Centronyx bairdii","Baird's Sparrow","BAIS"
"57",3020,"Haliaeetus leucocephalus","Bald Eagle","BAEA"
"58",19990,"Icterus galbula","Baltimore Oriole","BAOR"
"59",41528,"Hydrobates castro","Band-rumped Storm-Petrel","BSTP"
"60",6040,"Patagioenas fasciata","Band-tailed Pigeon","BTPI"
"61",35407,"Riparia riparia","Bank Swallow","BANS"
"62",142,"Anser indicus","Bar-headed Goose",NA
"63",4610,"Limosa lapponica","Bar-tailed Godwit","BTGO"
"64",7270,"Tyto alba","Barn Owl","BANO"
"65",47694,"Tyto alba [tuidara Group]","Barn Owl (American)",NA
"66",14250,"Hirundo rustica","Barn Swallow","BARS"
"67",40667,"Hirundo rustica erythrogaster","Barn Swallow (American)",NA
"68",210,"Branta leucopsis","Barnacle Goose","BARG"
"69",40236,"Puffinus baroli","Barolo Shearwater","BASH"
"70",43362,"Strix varia","Barred Owl","BADO"
"71",840,"Bucephala islandica","Barrow's Goldeneye","BAGO"
"72",16810,"Setophaga castanea","Bay-breasted Warbler","BBWA"
"73",42154,"Setophaga castanea/striata","Bay-breasted/Blackpoll Warbler",NA
"74",18861,"Artemisiospiza belli","Bell's Sparrow","BESP"
"75",13330,"Vireo bellii","Bell's Vireo","BEVI"
"76",9750,"Megaceryle alcyon","Belted Kingfisher","BEKI"
"77",16010,"Toxostoma bendirei","Bendire's Thrasher","BETH"
"78",1820,"Pterodroma cahow","Bermuda Petrel","BEPE"
"79",14760,"Thryomanes bewickii","Bewick's Wren","BEWR"
"80",15570,"Catharus bicknelli","Bicknell's Thrush","BITH"
"81",21140,"Aves sp.","bird sp.",NA
"82",16880,"Mniotilta varia","Black-and-white Warbler","BAWW"
"83",10370,"Picoides arcticus","Black-backed Woodpecker","BBWO"
"84",4070,"Pluvialis squatarola","Black-bellied Plover","BBPL"
"85",40347,"Pluvialis sp.","Black-bellied Plover/golden-plover sp.",NA
"86",80,"Dendrocygna autumnalis","Black-bellied Whistling-Duck","BBWD"
"87",7100,"Coccyzus erythropthalmus","Black-billed Cuckoo","BBCU"
"88",13870,"Pica hudsonia","Black-billed Magpie","BBMA"
"89",1700,"Thalassarche melanophris","Black-browed Albatross","BBAL"
"90",14280,"Poecile atricapillus","Black-capped Chickadee","BCCH"
"91",1830,"Pterodroma hasitata","Black-capped Petrel","BCPE"
"92",13340,"Vireo atricapilla","Black-capped Vireo","BCVI"
"93",9280,"Archilochus alexandri","Black-chinned Hummingbird","BCHU"
"94",2720,"Nycticorax nycticorax","Black-crowned Night-Heron","BCNH"
"95",41545,"Nycticorax nycticorax/Nyctanassa violacea","Black-crowned/Yellow-crowned Night-Heron",NA
"96",1740,"Phoebastria nigripes","Black-footed Albatross","BFAL"
"97",19410,"Pheucticus melanocephalus","Black-headed Grosbeak","BHGR"
"98",5070,"Chroicocephalus ridibundus","Black-headed Gull","BHGU"
"99",5310,"Rissa tridactyla","Black-legged Kittiwake","BLKI"
"100",4290,"Himantopus mexicanus","Black-necked Stilt","BNST"
"101",4590,"Limosa limosa","Black-tailed Godwit","BTGD"
"102",5130,"Larus crassirostris","Black-tailed Gull","BTGU"
"103",16600,"Setophaga caerulescens","Black-throated Blue Warbler","BTBW"
"104",16640,"Setophaga nigrescens","Black-throated Gray Warbler","BTYW"
"105",16660,"Setophaga virens","Black-throated Green Warbler","BTNW"
"106",18850,"Amphispiza bilineata","Black-throated Sparrow","BTSP"
"107",2080,"Puffinus opisthomelas","Black-vented Shearwater","BVSH"
"108",5770,"Cepphus grylle","Black Guillemot","BLGU"
"109",4270,"Haematopus bachmani","Black Oystercatcher","BLOY"
"110",12290,"Sayornis nigricans","Black Phoebe","BLPH"
"111",3730,"Laterallus jamaicensis","Black Rail","BLRA"
"112",791,"Melanitta americana","Black Scoter","BLSC"
"113",5650,"Rynchops niger","Black Skimmer","BLSK"
"114",2200,"Hydrobates melania","Black Storm-Petrel","BLSP"
"115",7970,"Cypseloides niger","Black Swift","BLSW"
"116",5520,"Chlidonias niger","Black Tern","BLTE"
"117",4640,"Arenaria melanocephala","Black Turnstone","BLTU"
"118",2840,"Coragyps atratus","Black Vulture","BLVU"
"119",19776,"Icteridae sp.","blackbird sp.","UNBL"
"120",16690,"Setophaga fusca","Blackburnian Warbler","BLBW"
"121",16820,"Setophaga striata","Blackpoll Warbler","BLPW"
"122",2300,"Sula nebouxii","Blue-footed Booby","BFBO"
"123",15100,"Polioptila caerulea","Blue-gray Gnatcatcher","BGGN"
"124",40715,"Polioptila caerulea caerulea","Blue-gray Gnatcatcher (caerulea)",NA
"125",13420,"Vireo solitarius","Blue-headed Vireo","BHVI"
"126",520,"Spatula discors","Blue-winged Teal","BWTE"
"127",16410,"Vermivora cyanoptera","Blue-winged Warbler","BWWA"
"128",19440,"Passerina caerulea","Blue Grosbeak","BLGR"
"129",13640,"Cyanocitta cristata","Blue Jay","BLJA"
"130",14931,"Monticola solitarius","Blue Rock-Thrush",NA
"131",40720,"Sialia sp.","bluebird sp.",NA
"132",15270,"Luscinia svecica","Bluethroat","BLUE"
"133",19520,"Dolichonyx oryzivorus","Bobolink","BOBO"
"134",16320,"Bombycilla garrulus","Bohemian Waxwing","BOWA"
"135",40749,"Bombycilla garrulus/cedrorum","Bohemian/Cedar Waxwing",NA
"136",5080,"Chroicocephalus philadelphia","Bonaparte's Gull","BOGU"
"137",41531,"Sula sp.","booby sp.",NA
"138",14320,"Poecile hudsonicus","Boreal Chickadee","BOCH"
"139",7670,"Aegolius funereus","Boreal Owl","BOOW"
"140",20110,"Fringilla montifringilla","Brambling","BRAM"
"141",2370,"Urile penicillatus","Brandt's Cormorant","BRAC"
"142",180,"Branta bernicla","Brant","BRAN"
"143",191,"Branta bernicla hrota","Brant (Atlantic)",NA
"144",41244,"Branta sp.","Branta sp.",NA
"145",19660,"Euphagus cyanocephalus","Brewer's Blackbird","BRBL"
"146",18790,"Spizella breweri","Brewer's Sparrow","BRSP"
"147",16450,"Vermivora chrysoptera x cyanoptera (F1 hybrid)","Brewster's Warbler (hybrid)",NA
"148",5420,"Onychoprion anaethetus","Bridled Tern","BRTE"
"149",4540,"Numenius tahitiensis","Bristle-thighed Curlew","BTCU"
"150",47647,"Cynanthus latirostris","Broad-billed Hummingbird","BBIH"
"151",8660,"Cynanthus latirostris/doubledayi","Broad-billed/Turquoise-crowned Hummingbird",NA
"152",9360,"Selasphorus platycercus","Broad-tailed Hummingbird","BTAH"
