species_common_name,species_code,scientific_name
Abbott's Babbler,MALABB,Malacocincla abbotti
Abbott's Duiker,CEPSPA,Cephalophus spadix
Aberrant Bush Warbler,abbwar1,Horornis flavolivaceus
Abert's Squirrel,SCIABE,Sciurus aberti
Abert's Towhee,ABTO,Melozone aberti
Abyssinian Ground Thrush,abgthr1,Geokichla piaggiae
Abyssinian Hare,LEPHAB,Lepus habessinicus
Abyssinian Roller,abyrol2,Coracias abyssinicus
Abyssinian Sunbird,shisun2,Cinnyris habessinicus
Abyssinian Thrush,abythr1,Turdus abyssinicus
Abyssinian White-eye,ZOSABY,Zosterops abyssinicus
Acacia Pied Barbet,piebar1,Tricholaema leucomelas
Acacia Tit,somtit4,Melaniparus thruppi
Acadian Flycatcher,ACFL,Empidonax virescens
Aceramarca Gracile Mouse Opossum,GRAACE,Gracilinanus aceramarcae
Aconaemys Species,3894,Aconaemys 
Acorn Woodpecker,ACWO,Melanerpes formicivorus
Acre Tody-Tyrant,acrtot1,Hemitriccus cohnhafti
Addax,ADDNAS,Addax nasomaculatus
Addax Species,ADDNUL,
Adelaide's Warbler,ADWA,Setophaga adelaidae
Adelie Penguin,adepen1,Pygoscelis adeliae
Aders' Duiker,CEPADE,Cephalophus adersi
Aepyceros Species,AEPNUL,
Afep Pigeon,COLUNI,Columba unicincta
African Barred Owlet,afbowl1,Glaucidium capense
African Blue Flycatcher,afbfly1,Elminia longicauda
African Blue Tit,afbtit2,Cyanistes teneriffae
African Broadbill,afrbro1,Smithornis capensis
African Buffalo,SYNCAF,Syncerus caffer
African Bush Elephant,LOXAFR,Loxodonta africana
African Collared-Dove,AFCD,Streptopelia roseogrisea
African Cuckoo,afrcuc1,Cuculus gularis
African Dusky Flycatcher,afdfly1,Muscicapa adusta
African Emerald Cuckoo,afecuc1,Chrysococcyx cupreus
African Firefinch,afffin,Lagonosticta rubricata
African Fish Eagle,affeag1,Icthyophaga vocifer
African Golden Oriole,afgori2,Oriolus auratus
African Goshawk,afrgos1,Aerospiza tachiro
African Green Pigeon,afrgrp1,Treron calvus
African Grey Flycatcher,afgfly1,Bradornis microrhynchus
African Grey Hornbill,afghor1,Lophoceros nasutus
African Grey Woodpecker,grywoo1,Dendropicos goertae
African Harrier-Hawk,POLTYP,Polyboroides typus
African Hill Babbler,afhbab1,Sylvia abyssinica
African Jacana,afrjac1,Actophilornis africanus
