organization,project,observer_id,observer_name,observer
Gov-NL,Labrador Highlands Research Group Point Counts 2007,obs03,BMS,NA
Gov-NL,Labrador Highlands Research Group Point Counts 2007,obs01,DF,NA
Gov-NL,Labrador Highlands Research Group Point Counts 2007,obs02,KPL,NA
BU,Alberta CAWA Project 2012 West,rjl,rjl,rjl
BU,Alberta CAWA Project 2012 West,lmm,lmm,lmm
BU,Alberta CAWA Project 2012 West,LMM,LMM,LMM
BU,Alberta CAWA Project 2012 West,mdk,mdk,mdk
BU,Alberta CAWA Project 2012 West,jrb,jrb,jrb
BU,Alberta CAWA Project 2012 West,JRB,JRB,JRB
BU,Alberta CAWA Project 2012 West,dss,dss,dss
BU,Alberta CAWA Project 2012 West,dis,dis,dis
BU,Alberta CAWA Project 2012 West,agm,agm,agm
BU,Alberta CAWA Project 2012 West,DSS,DSS,DSS
BU,Alberta CAWA Project 2012 West,MDK,MDK,MDK
BU,Alberta CAWA Project 2012 West,AGM,AGM,AGM
BU,Alberta CAWA Project 2012 West,RJL,RJL,RJL
BU,Alberta CAWA Project 2012 West,sah,sah,sah
BU,Alberta CAWA Project 2012 West,SAH,SAH,SAH
BU,Alberta CAWA Project 2012 West,ljm,ljm,ljm
BU,Alberta CAWA Project 2012 West,Ljm,Ljm,Ljm
BAM,Yukon-Charley Rivers National Preserve Point Counts 1999,TAR,TAR,TAR
BAM,Yukon-Charley Rivers National Preserve Point Counts 1999,NXG,NXG,NXG
BAM,Yukon-Charley Rivers National Preserve Point Counts 1999,SJC,SJC,SJC
BAM,Yukon-Charley Rivers National Preserve Point Counts 1999,SC,SC,SC
BAM,Yukon-Charley Rivers National Preserve Point Counts 1999,SEA,SEA,SEA
BAM,Yukon-Charley Rivers National Preserve Point Counts 1999,SAS,SAS,SAS
BAM,Yukon-Charley Rivers National Preserve Point Counts 1999,JRP,JRP,JRP
BAM,Yukon-Charley Rivers National Preserve Point Counts 1999,DAN,DAN,DAN
BAM,Yukon-Charley Rivers National Preserve Point Counts 1999,RGD,RGD,RGD
BAM,Yukon-Charley Rivers National Preserve Point Counts 1999,GVF,GVF,GVF
BAM,Yukon-Charley Rivers National Preserve Point Counts 1999,sas,sas,sas
BAM,Yukon-Charley Rivers National Preserve Point Counts 1999,CM,CM,CM
BAM,Yukon-Charley Rivers National Preserve Point Counts 1999,JVF,JVF,JVF
BAM,Yukon-Charley Rivers National Preserve Point Counts 1999,TRW,TRW,TRW
USGS Alaska,Alaska Landbird Monitoring Survey - Denali,RD,RD,RD
USGS Alaska,Alaska Landbird Monitoring Survey - Denali,SA,SA,SA
USGS Alaska,Alaska Landbird Monitoring Survey - Denali,PE,PE,PE
USGS Alaska,Alaska Landbird Monitoring Survey - Denali,TW,TW,TW
USGS Alaska,Alaska Landbird Monitoring Survey - Denali,LMT,LMT,LMT
USGS Alaska,Alaska Landbird Monitoring Survey - Denali,JDM,JDM,JDM
USGS Alaska,Alaska Landbird Monitoring Survey - Denali,MDP,MDP,MDP
USGS Alaska,Alaska Landbird Monitoring Survey - Denali,ETM,ETM,ETM
USGS Alaska,Alaska Landbird Monitoring Survey - Denali,KH,KH,KH
USGS Alaska,Alaska Landbird Monitoring Survey - Denali,MS,MS,MS
USGS Alaska,Alaska Landbird Monitoring Survey - Denali,CE,CE,CE
USGS Alaska,Alaska Landbird Monitoring Survey - Denali,JJW,JJW,JJW
USGS Alaska,Alaska Landbird Monitoring Survey - Denali,KES,KES,KES
USGS Alaska,Alaska Landbird Monitoring Survey - Denali,ALJ,ALJ,ALJ
USGS Alaska,Alaska Landbird Monitoring Survey - Denali,MJK,MJK,MJK
USGS Alaska,Alaska Landbird Monitoring Survey - Denali,CLM,CLM,CLM
BU,Calling Lake Fragmentation Experiment Private,58,58,58
BU,Calling Lake Fragmentation Experiment Private,68,68,68
BU,Calling Lake Fragmentation Experiment Private,67,67,67
BU,Calling Lake Fragmentation Experiment Private,LJM,LJM,LJM
BU,Calling Lake Fragmentation Experiment Private,CG,CG,CG
BU,Calling Lake Fragmentation Experiment Private,FAP,FAP,FAP
BU,Calling Lake Fragmentation Experiment Private,NPB,NPB,NPB
BU,Calling Lake Fragmentation Experiment Private,RJL,RJL,RJL
BU,Calling Lake Fragmentation Experiment Private,DS,DS,DS
BU,Calling Lake Fragmentation Experiment Private,JRB,JRB,JRB
BU,Calling Lake Fragmentation Experiment Private,cg,cg,cg
BU,Calling Lake Fragmentation Experiment Private,AGM,AGM,AGM
BU,Calling Lake Fragmentation Experiment Private,"RJL
RJL","RJL
RJL","RJL
RJL"
CWS-PRA,JOSM Resampling ECCC Cause and Effect Monitoring for Landbirds 2014,AGM,AGM,AGM
CWS-PRA,JOSM Resampling ECCC Cause and Effect Monitoring for Landbirds 2014,MML,MML,MML
CWS-PRA,JOSM Resampling ECCC Cause and Effect Monitoring for Landbirds 2014,MMM,MMM,MMM
CWS-PRA,JOSM Resampling ECCC Cause and Effect Monitoring for Landbirds 2014,JRB,JRB,JRB
CWS-PRA,JOSM Resampling ECCC Cause and Effect Monitoring for Landbirds 2014,JJS,JJS,JJS
